sentence_id,sent,anno
10,"Hôm_qua , hai bệnh_nhân Covid - 19 cũng tử_vong , có bệnh nền suy thận mạn .",O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O
11,"8h ngày 1 - 8 , bệnh_nhân 861 chở con gái đến khám tại phòng_khám đa_khoa của bác_sĩ Hoàng_Đức_Dũng ( số 16 - 18 B - 22 đường Lê_Duẩn , TP Đông_Hà ) .",O O B-DATE I-DATE I-DATE O O B-PATIENT_ID O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O
12,"Cả hai đều thuộc diện xét_nghiệm sàng_lọc , lấy mẫu bệnh_phẩm ngày 11/4 , kết_quả dương_tính ngày 13/4 , điều_trị tại Bệnh_viện Bệnh Nhiệt_đới Trung_ương cơ_sở 2 .",O O O O O O O O O O O O B-DATE O O O O B-DATE O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O
13,"Tính đến ngày 11 - 3 , trên địa_bàn tỉnh Quảng_Ninh chưa phát_hiện thêm ca bệnh COVID - 19 ngoài 4 ca trước đó ( đều là du_khách nước_ngoài đi cùng chuyến bay VN0054 với bệnh_nhân thứ 17 ) .",O O O B-DATE I-DATE I-DATE O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O B-TRANSPORTATION O O O B-PATIENT_ID O O
14,"Sở GD - ĐT đã quán_triệt tất_cả thí_sinh và những người làm công_tác thi sau khi xét_nghiệm thực_hiện nghiêm giãn cách xã_hội theo Chỉ_thị 16 , chỉ di_chuyển khi theo lịch thi và lịch làm nhiệm_vụ của kỳ thi .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15,Những người vào trung_tâm cách_ly được xếp ở chung phòng một_cách ngẫu_nhiên .,O O O O O O O O O O O O O
16,"Theo đó , bệnh_nhân thứ 17 có 2 lần xét_nghiệm cho kết_quả âm_tính ( cùng bệnh_nhân 24 và 27 ) , đủ tiêu_chuẩn xác_định khỏi bệnh .",O O O O O B-PATIENT_ID O O O O O O O O O O B-PATIENT_ID O B-PATIENT_ID O O O O O O O O
17,"Công_tác khám bệnh , chẩn_đoán , điều_trị , thực_hiện thủ_thuật , phẫu_thuật ... đối_với bệnh_nhân như với người nghi Covid - 19 đến khi có kết_quả xét_nghiệm .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
18,Trung_tâm Kiểm_soát bệnh_tật tỉnh lấy mẫu gửi Viện Vệ_sinh dịch_tễ trung_ương xét_nghiệm .,O O O O O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O
19,"Bệnh_nhân là phi_công hãng Vietnam_Airlines , xác_định dương_tính ngày 18/3 .",O O O O B-ORGANIZATION O O O O B-DATE O
20,""" Bệnh_nhân 235 "" , nam , 25 tuổi , quốc_tịch Anh , ngày 14/3 đi quán bar Buddha .",O O B-PATIENT_ID O O B-GENDER O B-AGE O O O O O O B-DATE O B-LOCATION I-LOCATION I-LOCATION O
21,"Với việc có thêm 8 bệnh_nhân mới ( từ bệnh_nhân 374 đến 381 ) , Việt_Nam đã ghi_nhận tổng_số 381 ca bệnh trong mùa dịch này , trong đó có 353 người đã bình_phục ( chiếm gần 93% ) .",O O O O O O O O O O B-PATIENT_ID O B-PATIENT_ID O O B-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O
22,"Kết_quả xét_nghiệm PCR lần thứ_bảy cho kết_quả dương_tính vào ngày 10 - 8 và kể từ khi hết thời_hạn cách_ly , người phụ_nữ này đã đi du_lịch nhiều nơi ở Bhutan cùng gia_đình , bạn_bè và thậm_chí cả mua_sắm .",O O O O O O O O O O B-DATE I-DATE I-DATE O O O O O O O O O O O O O O O O O B-LOCATION O O O O O O O O O
23,""" Bệnh_nhân 20 "" , phụ_nữ , 64 tuổi , điều_trị tại Hà_Nội , tỉnh_táo , không sốt , xét_nghiệm lần gần đây nhất ngày 15/4 kết_quả âm_tính lần ba .",O O B-PATIENT_ID O O B-GENDER O B-AGE O O O O B-LOCATION O O O O O O O O O O O O B-DATE O O O O O
24,Đa_phần các trường_hợp này đều tự đến bệnh_viện khi phát_hiện các triệu_chứng phổ_biến của COVID - 19 như ho và sốt .,O O O O O O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE O
25,"Ngày 18/3 , ông chưa có dấu_hiệu bệnh , được Trung_tâm Y_tế quận 8 lấy mẫu giám_sát theo nhóm người dự thánh lễ Hồi_giáo tại Malaysia .",O B-DATE O O O O O O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O O O O O O B-LOCATION O
26,Mẫu bệnh_phẩm gửi Viện Vệ_sinh Dịch_tễ Trung_ương xét_nghiệm cho kết_quả có nCoV .,O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O
27,"Hơn 170 người ở Bắc_Ninh và Bắc_Giang , Thái_Nguyên bị cách_ly tập_trung do từng tiếp_xúc với nam công_nhân dương_tính nCoV .",O O O O B-LOCATION O B-LOCATION O B-LOCATION O O O O O O O O O O O O
28,Bệnh_nhân và những người tiếp_xúc gần đã được đưa đến Bệnh_viện Bệnh Nhiệt_đới Trung_ương cơ_sở Đông_Anh .,O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O
29,"Buổi chiều , 23 bệnh_nhân Đà_Nẵng điều_trị ở Trung_tâm Y_tế Hoà_Vang được công_bố khỏi , trong đó bốn bệnh_nhân 505 , 757 , 766 , 784 đang chạy thận nhân_tạo có bốn lần xét_nghiệm âm_tính và được chuyển đến Bệnh_viện Da_liễu Đà_Nẵng để tiếp_tục chu_kỳ chạy thận .",O O O O O B-LOCATION O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O B-PATIENT_ID O B-PATIENT_ID O B-PATIENT_ID O B-PATIENT_ID O O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O
30,"Bác_sĩ Hùng cho biết diễn_biến bệnh của bệnh_nhân nhanh và phức_tạp , khi vào viện đã trong tình_trạng nguy_kịch , phổi tổn_thương nặng , suy hô_hấp và đã có biến_chứng suy đa tạng , tính_mạng bị đe_doạ .",O O O O O O O O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O
31,"Theo đó , tất_cả các trường_hợp F1 , F2 , người đang cách_ly y_tế , người có hội_chứng cúm , viêm phổi nặng do virus , người có bệnh mãn_tính diễn_biến nặng , giai_đoạn cuối ( ung_thư , tim_mạch , suy thận ... ) đang điều_trị tại các cơ_sở y_tế , người có dấu_hiệu ho , sốt , khó thở … trong cộng_đồng , người nhập_cảnh trái_phép vào địa_bàn tỉnh , toàn_bộ người trở về từ Đà_Nẵng từ ngày 21 - 7 đến nay phải làm xét_nghiệm Realtime - PCR sàng_lọc COVID - 19 .",O O O O O O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O O O O O O O O B-LOCATION O O B-DATE I-DATE I-DATE O O O O O O O O O O O O O
32,"23 bệnh_nhân trong số này được chuyển đến Bệnh_viện Đa_khoa tỉnh Thái_Bình , bệnh_nhân còn lại được chuyển tới Bệnh_viện số 2 tỉnh Quảng_Ninh .",O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O
33,""" Bệnh_nhân 750 "" , nam , 28 tuổi , ở phường Đông_Lễ , TP Đông_Hà ( tỉnh Quảng_Trị ) , là bạn của "" bệnh_nhân 749 "" , có lịch_trình phức_tạp và tiếp_xúc nhiều người trong thời_gian chưa bị cách_ly .",O O B-PATIENT_ID O O B-GENDER O B-AGE O O O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O O O O O O B-PATIENT_ID O O O O O O O O O O O O O O O
34,Riêng mẫu 82 ( gửi đi cùng lúc 81 mẫu F 1 ) là bệnh_phẩm của bệnh_nhân 34 vẫn đang tiếp_tục theo_dõi .,O O B-PATIENT_ID O O O O O B-PATIENT_ID O O O O O O O O B-PATIENT_ID O O O O O
35,"Hai người bắt_đầu có triệu_chứng bệnh cùng một cùng ngày vào_khoảng hai tuần trước , ho nhiều và mất khứu_giác .",O O O O O O O O O O O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O
36,"Điều may_mắn là đến ngày 24 - 3 , 2 trong số 3 bệnh_nhân nặng nhất đã có những bước ổn_định nhất_định , có_thể giảm được thở máy , đã tạm dừng lọc máu , mức_độ nguy_hiểm đến tính_mạng đã giảm bớt .",O O O O O B-DATE I-DATE I-DATE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
37,"Cùng ngày , Trung_tâm Kiểm_soát bệnh_tật tỉnh Nam_Định lấy mẫu lần một xét_nghiệm âm_tính với nCoV .",O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O O O O
38,Bốn người tiếp_xúc với du_khách này ở TP HCM cũng được cách_ly .,O O O O O O O B-LOCATION I-LOCATION O O O O
39,"Ngay bệnh_nhân mới ghi_nhận ở Hà_Nội , trong số 18 người có tiếp_xúc gần với bệnh_nhân thì chỉ có 4 người được xác_định đã lấy mẫu xét_nghiệm .",O O O O O B-LOCATION O O O O O O O O O O O O O O O O O O O O O O
40,"Bệnh_nhân 129 là nam , 20 tuổi , địa_chỉ ở Nghĩa Tân , Hà_Nội , là du_học_sinh tại Anh , nhập_cảnh về Nội_Bài ngày 20 - 3 trên chuyến bay VN 0054 .",O B-PATIENT_ID O B-GENDER O B-AGE O O O O B-LOCATION I-LOCATION O B-LOCATION O O B-JOB O B-LOCATION O O O B-LOCATION O B-DATE I-DATE I-DATE O O O B-TRANSPORTATION I-TRANSPORTATION O
41,"Hiện bệnh_nhân điều_trị tại cơ_sở 2 Bình_Sơn - Dung_Quất , Quảng_Ngãi .",O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O B-LOCATION O
42,"Trong đó đáng chú_ý có bệnh_nhân 116 N.X.T. - bác_sĩ của Bệnh_viện Bệnh nhiệt_đới trung_ương , và bệnh_nhân 21 N.Q.T. - người đi chuyến máy_bay VN 0054 về Việt_Nam rạng sáng 2 - 3 cùng đoàn bộ_trưởng Bộ Kế_hoạch - đầu_tư Nguyễn_Chí_Dũng và bệnh_nhân 17 .",O O O O O O B-PATIENT_ID B-NAME O B-JOB O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O B-PATIENT_ID B-NAME O O O O O B-TRANSPORTATION I-TRANSPORTATION O B-LOCATION O O B-DATE I-DATE I-DATE O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION B-NAME O O B-PATIENT_ID O
43,"Đó là bệnh_nhân 582 ( 55 tuổi , giáo_viên ở phường Bình_Hiên , quận Hải_Châu ) nhập_viện tại Bệnh_viện Phổi Đà_Nẵng để điều_trị ngày 31 - 7 với các bệnh_lý nền như tăng huyết_áp , suy tim , thiếu máu cục_bộ .",O O O B-PATIENT_ID O B-AGE O O B-JOB O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O O B-LOCATION I-LOCATION I-LOCATION O O O B-DATE I-DATE I-DATE O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O
44,Ông Kha cho biết thêm lúc bệnh_nhân này về nước chưa có công_bố dịch ở Malyasia và trước ngày 16 - 3 không có chỉ_đạo nên quận không rà_soát để yêu_cầu cách_ly .,O O O O O O O O O O O O O O O B-LOCATION O O O B-DATE I-DATE I-DATE O O O O O O O O O O O
45,"Ông Thượng cũng lưu_ý Đồng_Nai tập_trung mọi nguồn_lực chống COVID - 19 khiến một_số lĩnh_vực khác bị ảnh_hưởng , nhưng cần tập_trung giãn cách lượng bệnh_nhân trong các cơ_sở y_tế , đặc_biệt lưu_ý đến những người cao_tuổi không để lây chéo bệnh trong bệnh_viện .",O O O O B-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
46,"Chiều 27/6 , Bộ Y_tế ghi_nhận hai ca dương_tính nCoV , là hai phụ_nữ trở về từ Kuwait được cách_ly ngay khi nhập_cảnh .",O B-DATE O B-ORGANIZATION I-ORGANIZATION O O O O O O O O O O O O B-LOCATION O O O O O O
47,Dịch xuất_hiện lần thứ hai ở Việt_Nam bắt_nguồn từ một phụ_nữ Việt vừa du_lịch châu_Âu về nước .,O O O O O O B-LOCATION O O O O O O O B-LOCATION O O O
48,"UBND TP Biên_Hoà , Đồng_Nai dỡ bỏ cách_ly tuyến đường Hồ_Văn_Đại , nơi cư_trú của hai bệnh_nhân 595 và 669 sau 14 ngày phong_toả .",B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O B-LOCATION O O O O B-LOCATION I-LOCATION O O O O O O B-PATIENT_ID O B-PATIENT_ID O O O O O
49,"Cô gái sống tại Hà_Nội , đáp chuyến bay NH898 từ Nội_Bài đi Tokyo , Nhật_Bản , ngày 8/8 , được cơ_quan giám_sát dịch_tễ Nhật_Bản test nhanh dương_tính với nCoV .",O O O O B-LOCATION O O O O B-TRANSPORTATION O B-LOCATION O B-LOCATION O B-LOCATION O O B-DATE O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O
50,"Một người là ca bệnh số 750 , từng đến thăm chị_gái nằm tại tầng 6 nhà G của bệnh_viện .",O O O O O O B-PATIENT_ID O O O O O O O O O O O O O O
51,"Bệnh_nhân 567 , 568 ghi_nhận tại TP HCM , liên_quan Bệnh_viện Đà_Nẵng .",O B-PATIENT_ID O B-PATIENT_ID O O B-LOCATION I-LOCATION O O B-LOCATION I-LOCATION O
52,"Sáng 1/4 , bệnh_nhân được lấy mẫu bệnh_phẩm , xét_nghiệm dương_tính với nCoV .",O B-DATE O O O O O O O O O O O O
53,"Nhóm nghiên_cứu cũng cho biết qua kiểm_tra lại phim chụp X - quang của bệnh_nhân 63 tuổi liên_quan tới chùm bệnh_nhân ở Hải_Dương , bệnh_nhân đã đi 2 bệnh_viện và 2 lần xét_nghiệm PCR mới phát_hiện dương_tính với COVID - 19 , nhưng trên phim X - quang đầu_tiên , hệ_thống dữ_liệu đã cảnh_báo bệnh_nhân bị COVID - 19 .",O O O O O O O O O O O O O O O O O O O O O O B-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
54,""" Bệnh_nhân 449 "" , được Bộ Y_tế ghi_nhận chiều 29/7 , bị nhiễm_trùng , suy hô_hấp , tổn_thương phổi , tiểu_đường , cao huyết_áp , viêm khớp mạn_tính .",O O B-PATIENT_ID O O O B-ORGANIZATION I-ORGANIZATION O O B-DATE O O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O
55,"Anh uống nước hai lần ở tiệm tạp_hoá gần nhà , chiều 21 và 23/8 .",O O O O O O O O O O O O B-DATE O B-DATE O
56,"Ngày 29/7 , anh từ Guinea_Xích_đạo về sân_bay Nội_Bài trên chuyến bay VN6 , cách_ly ngay , lấy mẫu xét_nghiệm tại Bệnh_viện Bệnh Nhiệt_đới Trung_ương cơ_sở 2 .",O B-DATE O O O B-LOCATION O B-LOCATION I-LOCATION O O O B-TRANSPORTATION O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O
57,"Trường_hợp kết_quả xét_nghiệm âm_tính hoặc kết_quả xét_nghiệm không rõ , tổ_chức di_chuyển về cơ_sở cách_ly tập_trung đã đăng_ký đảm_bảo các quy_định an_toàn khi vận_chuyển theo hướng_dẫn của Bộ Y_tế bằng phương_tiện riêng do cơ_quan hoặc UBND các địa_phương thu_xếp .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORGANIZATION I-ORGANIZATION O O O O O O O O O O O
58,""" Bệnh_nhân 35 "" là nữ nhân_viên bán hàng ở siêu_thị điện_máy , đã lây_nhiễm virus từ hai người Anh - "" bệnh_nhân 22 "" và 23 - khi họ đến siêu_thị mua_sắm .",O O B-PATIENT_ID O O B-GENDER B-JOB I-JOB I-JOB O O O O O O O O O O O O O O B-PATIENT_ID O O B-PATIENT_ID O O O O O O O
59,"Ngày 2 - 5 , họ được lấy mẫu xét_nghiệm lần 2 , 12 người có kết_quả âm_tính , riêng bệnh_nhân 271 có kết_quả dương_tính với SARS - CoV - 2 .",O B-DATE I-DATE I-DATE O O O O O O O O O O O O O O O O O B-PATIENT_ID O O O O O O O O O O
60,""" Bệnh_nhân 890 "" , nam , 47 tuổi , Cẩm_Lệ , Đà_Nẵng , tiếp_xúc với các bệnh_nhân 877 , 878 , 879 , 880 .",O O B-PATIENT_ID O O B-GENDER O B-AGE O O B-LOCATION O B-LOCATION O O O O O B-PATIENT_ID O B-PATIENT_ID O B-PATIENT_ID O B-PATIENT_ID O
61,"Khi nhập_cảnh , cả 4 chưa có triệu_chứng bệnh và được đưa về khu cách_ly tập_trung của Đồng_Tháp .",O O O O O O O O O O O O O O O O O B-LOCATION O
62,Khoa chị M. làm_việc đang còn hơn 10 bệnh_nhân và hơn 10 nhân_viên y_tế đang trực_chiến .,O O B-NAME O O O O O O O O O O O O O O
63,"Tại cuộc họp , ông Nguyễn_Tăng_Bính , phó chủ_tịch UBND tỉnh Quảng_Ngãi , chỉ_đạo "" Các địa_phương , ngành chức_năng tập_trung truy vết tất_cả các trường_hợp mà hai bệnh_nhân 786 và 787 từng tiếp_xúc .",O O O O O O O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O O O O O O O O O O O O B-PATIENT_ID O B-PATIENT_ID O O O
64,"Tối 15/5 , mẫu xét_nghiệm lần hai của bệnh_nhân tại Viện Pasteur TP_HCM kết_quả dương_tính .",O B-DATE O O O O O O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O
65,""" Bệnh_nhân 246 "" , nam , 33 tuổi , ở huyện Yên_Thành , tỉnh Nghệ_An , làm đầu bếp tại Moskva , Nga .",O O B-PATIENT_ID O O B-GENDER O B-AGE O O O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O B-JOB I-JOB O B-LOCATION O B-LOCATION O
66,"Ngày 22/7 , chị này tiếp_xúc với "" bệnh_nhân 736 "" tại Đà_Nẵng trước khi cùng chồng và con gái đi máy_bay ra du_lịch miền Bắc .",O B-DATE O O O O O O O B-PATIENT_ID O O B-LOCATION O O O O O O O O O O O B-LOCATION I-LOCATION O
67,"Hiện lực_lượng công_an cũng đã tổ_chức chốt chặn , đảm_bảo an_ninh trật_tự khu_vực xung_quanh bệnh_viện .",O O O O O O O O O O O O O O O O
68,"Liên_quan đến ca mắc COVID - 19 số 714 , là bệnh_nhân thứ 3 của Hà_Nội trở về từ Đà_Nẵng , ông Trần_Thế Cương - bí_thư Quận_uỷ , chủ_tịch UBND quận Bắc Từ_Liêm - cho biết ngay sau khi xác_định bệnh_nhân số 714 , quận đã rà_soát những trường_hợp F1 , F2 , phong_toả chung_cư mini với 98 người mà bệnh_nhân số 714 sống tại đây .",O O O O O O O O B-PATIENT_ID O O O O O O B-LOCATION O O O B-LOCATION O O O O O O O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O O O O B-PATIENT_ID O O O O O O O O O O O O O O O O O O O B-PATIENT_ID O O O O
69,"Ngày 20/3 , bệnh_nhân sốt , xét_nghiệm dương_tính nCoV , chuyển viện .",O B-DATE O O B-SYMPTOM_AND_DISEASE O O O O O O O O
70,Bệnh_nhân thứ 19 và 20 là bác gái và lái_xe của Nhung .,O O B-PATIENT_ID O B-PATIENT_ID O O B-GENDER O B-JOB O B-NAME O
71,"Qua quá_trình chăm nuôi , BN có triệu_chứng nên bệnh_viện lấy mẫu để xét_nghiệm COVID - 19 .",O O O O O O O O O O O O O O O O O O
72,"Trước đó , bệnh_nhân 582 ( nam , 55 tuổi , trú tại quận Hải_Châu , thành_phố Đà_Nẵng ) đã được Bệnh_viện Phổi Đà_Nẵng công_bố khỏi COVID - 19 , nhưng phải ở lại bệnh_viện để điều_trị bệnh_lý nền .",O O O O B-PATIENT_ID O B-GENDER O B-AGE O O O O B-LOCATION I-LOCATION O B-LOCATION I-LOCATION O O O B-ORGANIZATION I-ORGANIZATION I-ORGANIZATION O O O O O O O O O O O O O O O O
73,"Cứ 7 bệnh_nhân có một người khó thở và các biến_chứng , 6% bệnh_nhân diễn_tiến nguy_kịch .",O O O O O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O
74,"Người này béo phì , mắc hội_chứng phản_ứng miễn_dịch dữ_dội , rối_loạn đông máu nặng , các bác_sĩ phải đặt mua thuốc từ nước_ngoài về điều_trị .",O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O B-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE I-SYMPTOM_AND_DISEASE O O O O O O O O O O O O
75,"Trong quá_trình ở Việt_Nam từ ngày 11/3 đến nay , người này sức_khoẻ bình_thường , chủ_yếu sinh_sống và đi_lại từ khách_sạn đến_nơi làm_việc .",O O O B-LOCATION O O B-DATE O O O O O O O O O O O O O O O O O
76,Nguồn lây của bệnh_nhân 867 là ở Hải_Dương .,O O O O B-PATIENT_ID O O B-LOCATION O
77,"Bệnh_nhân 75 là nữ , 40 tuổi , địa_chỉ ở quận 2 , TP.HCM.",O B-PATIENT_ID O B-GENDER O B-AGE O O O O B-LOCATION I-LOCATION O B-LOCATION
78,"Trước khi được đưa đi cách_ly tại Bệnh_viện Lao và bệnh phổi tỉnh , bệnh_nhân 862 lưu_trú tại khoa_nội tổng_hợp ( phòng 609 , tầng 6 , khu nhà G ) của Bệnh_viện Đa_khoa tỉnh Quảng_Trị để chăm_sóc con là bệnh_nhân 832 và thường di_chuyển nhiều nơi của khu nhà này .",O O O O O O O O O O O O O O O B-PATIENT_ID O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O B-PATIENT_ID O O O O O O O O O O
79,"Ông Chung cũng thông_tin theo xác_định sơ_bộ thời_gian từ sáng 2 - 3 đến chiều 6 - 3 , bệnh_nhân N.Q.T. đã tiếp_xúc với 96 người .",O O O O O O O O O O B-DATE I-DATE I-DATE O O B-DATE I-DATE I-DATE O O B-NAME O O O O O O
80,Khu_vực nơi bệnh_nhân 964 sinh_sống bị phong_toả hôm 18 - 8 .,O O O B-PATIENT_ID O O O O B-DATE I-DATE I-DATE O
